"subind","runnum","group","N","rt_median","acc_avg"
"8961_c_second","3","H_control_second",32,2.73140126548,1
"8963_c_second","1","H_control_second",32,3.43709137834,0.96875
"8963_c_second","2","H_control_second",32,3.70477814958,0.90625
"8963_c_second","3","H_control_second",32,4.26852283184,0.96875
"8967_c_second","1","H_control_second",32,3.237630125245,1
"8967_c_second","2","H_control_second",32,3.117049010105,0.9375
"8967_c_second","3","H_control_second",32,3.02784078719,0.9375
"8972_c_second","1","H_control_second",32,3.65739455875,0.8125
"8972_c_second","2","H_control_second",32,3.716561538875,0.875
"8972_c_second","3","H_control_second",32,3.84228025894,0.90625
"8974_c_second","1","H_control_second",32,3.27188852148,0.90625
"8974_c_second","2","H_control_second",32,3.52672242226,1
"8960_c_third","1","H_control_third",32,5.115736842665,0.8125
"8960_c_third","2","H_control_third",32,4.716041987775,0.75
"8960_c_third","3","H_control_third",32,4.35623113586,0.8125
"8961_c_third","1","H_control_third",32,3.11764938301,0.84375
"8961_c_third","3","H_control_third",32,3.844971032355,0.9375
"8963_c_third","1","H_control_third",32,2.92588648727,0.96875
"8963_c_third","2","H_control_third",32,2.77526544043,0.96875
"8963_c_third","3","H_control_third",32,2.5124221222,0.96875
